n,G_score,pred,truth
219,1.8358300027522023,COMPOSITE,COMPOSITE
220,1.8358300027522023,COMPOSITE,COMPOSITE
221,1.8358300027522023,COMPOSITE,COMPOSITE
222,1.8358300027522023,COMPOSITE,COMPOSITE
223,1.4192449963861216,COMPOSITE,PRIME
224,1.8358300027522023,COMPOSITE,COMPOSITE
225,1.8358300027522023,COMPOSITE,COMPOSITE
226,1.8358300027522023,COMPOSITE,COMPOSITE
227,1.4320621798080786,COMPOSITE,PRIME
228,1.8358300027522023,COMPOSITE,COMPOSITE
229,1.4382614820144393,COMPOSITE,PRIME
230,1.8358300027522023,COMPOSITE,COMPOSITE
231,1.8358300027522023,COMPOSITE,COMPOSITE
232,1.8358300027522023,COMPOSITE,COMPOSITE
233,1.450260141767736,COMPOSITE,PRIME
234,1.8358300027522023,COMPOSITE,COMPOSITE
235,1.8358300027522023,COMPOSITE,COMPOSITE
236,1.8358300027522023,COMPOSITE,COMPOSITE
237,1.8358300027522023,COMPOSITE,COMPOSITE
238,1.8358300027522023,COMPOSITE,COMPOSITE
239,1.4673108548572327,COMPOSITE,PRIME
240,1.8358300027522023,COMPOSITE,COMPOSITE
241,1.4727551088325996,COMPOSITE,PRIME
242,1.8358300027522023,COMPOSITE,COMPOSITE
243,1.8358300027522023,COMPOSITE,COMPOSITE
244,1.8358300027522023,COMPOSITE,COMPOSITE
245,1.8358300027522023,COMPOSITE,COMPOSITE
246,1.8358300027522023,COMPOSITE,COMPOSITE
247,1.8358300027522023,COMPOSITE,COMPOSITE
248,1.8358300027522023,COMPOSITE,COMPOSITE
249,1.8358300027522023,COMPOSITE,COMPOSITE
250,1.8358300027522023,COMPOSITE,COMPOSITE
251,1.4983189901787328,COMPOSITE,PRIME
252,1.8358300027522023,COMPOSITE,COMPOSITE
253,1.8358300027522023,COMPOSITE,COMPOSITE
254,1.8358300027522023,COMPOSITE,COMPOSITE
255,1.8358300027522023,COMPOSITE,COMPOSITE
256,1.8358300027522023,COMPOSITE,COMPOSITE
257,1.5124317955894657,COMPOSITE,PRIME
258,1.8358300027522023,COMPOSITE,COMPOSITE
259,1.8358300027522023,COMPOSITE,COMPOSITE
260,1.8358300027522023,COMPOSITE,COMPOSITE
261,1.8358300027522023,COMPOSITE,COMPOSITE
262,1.8358300027522023,COMPOSITE,COMPOSITE
263,1.5257094849535324,COMPOSITE,PRIME
264,1.8358300027522023,COMPOSITE,COMPOSITE
265,1.8358300027522023,COMPOSITE,COMPOSITE
266,1.8358300027522023,COMPOSITE,COMPOSITE
267,1.8358300027522023,COMPOSITE,COMPOSITE
268,1.8358300027522023,COMPOSITE,COMPOSITE
269,1.538213882317422,COMPOSITE,PRIME
270,1.8358300027522023,COMPOSITE,COMPOSITE
271,1.5422200832264463,COMPOSITE,PRIME
272,1.8358300027522023,COMPOSITE,COMPOSITE
273,1.8358300027522023,COMPOSITE,COMPOSITE
274,1.8358300027522023,COMPOSITE,COMPOSITE
275,1.8358300027522023,COMPOSITE,COMPOSITE
276,1.8358300027522023,COMPOSITE,COMPOSITE
277,1.5537804910721142,COMPOSITE,PRIME
278,1.8358300027522023,COMPOSITE,COMPOSITE
279,1.8358300027522023,COMPOSITE,COMPOSITE
280,1.8358300027522023,COMPOSITE,COMPOSITE
281,1.5611240469204166,COMPOSITE,PRIME
282,1.8358300027522023,COMPOSITE,COMPOSITE
283,1.5646920669093969,COMPOSITE,PRIME
284,1.8358300027522023,COMPOSITE,COMPOSITE
285,1.8358300027522023,COMPOSITE,COMPOSITE
286,1.8358300027522023,COMPOSITE,COMPOSITE
287,1.8358300027522023,COMPOSITE,COMPOSITE
288,1.8358300027522023,COMPOSITE,COMPOSITE
289,1.8358300027522023,COMPOSITE,COMPOSITE
290,1.8358300027522023,COMPOSITE,COMPOSITE
291,1.8358300027522023,COMPOSITE,COMPOSITE
292,1.8358300027522023,COMPOSITE,COMPOSITE
293,1.5815593091579718,COMPOSITE,PRIME
294,1.8358300027522023,COMPOSITE,COMPOSITE
295,1.8358300027522023,COMPOSITE,COMPOSITE
296,1.8358300027522023,COMPOSITE,COMPOSITE
297,1.8358300027522023,COMPOSITE,COMPOSITE
298,1.8358300027522023,COMPOSITE,COMPOSITE
299,1.8358300027522023,COMPOSITE,COMPOSITE
300,1.8358300027522023,COMPOSITE,COMPOSITE
301,1.8358300027522023,COMPOSITE,COMPOSITE
